COUNTRY,POSTAL_CODE,CITY,STATE
RO,510001,Bărăbanţ,Alba
RO,510002,Miceşti,Alba
RO,510002,Alba Iulia,Alba
RO,510003,Oarda,Alba
RO,510004,Pâclişa,Alba
RO,510005,Alba Iulia,Alba
RO,510006,Alba Iulia,Alba
RO,510007,Alba Iulia,Alba
RO,510008,Alba Iulia,Alba
RO,510009,Alba Iulia,Alba
RO,510010,Alba Iulia,Alba
RO,510011,Alba Iulia,Alba
RO,510012,Alba Iulia,Alba
RO,510014,Alba Iulia,Alba
RO,510016,Alba Iulia,Alba
RO,510017,Alba Iulia,Alba
RO,510021,Alba Iulia,Alba
RO,510022,Alba Iulia,Alba
RO,510026,Alba Iulia,Alba
RO,510029,Alba Iulia,Alba
RO,510030,Alba Iulia,Alba
RO,510031,Alba Iulia,Alba
RO,510032,Alba Iulia,Alba
RO,510033,Alba Iulia,Alba
RO,510034,Alba Iulia,Alba
RO,510037,Alba Iulia,Alba
RO,510039,Alba Iulia,Alba
RO,510040,Alba Iulia,Alba
RO,510041,Alba Iulia,Alba
RO,510042,Alba Iulia,Alba
RO,510045,Alba Iulia,Alba
RO,510046,Alba Iulia,Alba
RO,510047,Alba Iulia,Alba
RO,510048,Alba Iulia,Alba
RO,510049,Alba Iulia,Alba
RO,510050,Alba Iulia,Alba
RO,510053,Alba Iulia,Alba
RO,510054,Alba Iulia,Alba
RO,510055,Alba Iulia,Alba
RO,510056,Alba Iulia,Alba
RO,510057,Alba Iulia,Alba
RO,510061,Alba Iulia,Alba
RO,510062,Alba Iulia,Alba
RO,510063,Alba Iulia,Alba
RO,510064,Alba Iulia,Alba
RO,510065,Alba Iulia,Alba
RO,510066,Alba Iulia,Alba
RO,510070,Alba Iulia,Alba
RO,510072,Alba Iulia,Alba
RO,510073,Alba Iulia,Alba
RO,510077,Alba Iulia,Alba
RO,510078,Alba Iulia,Alba
RO,510079,Alba Iulia,Alba
RO,510080,Alba Iulia,Alba
RO,510081,Alba Iulia,Alba
RO,510082,Alba Iulia,Alba
RO,510083,Alba Iulia,Alba
RO,510084,Alba Iulia,Alba
RO,510085,Alba Iulia,Alba
RO,510086,Alba Iulia,Alba
RO,510087,Alba Iulia,Alba
RO,510088,Alba Iulia,Alba
RO,510089,Alba Iulia,Alba
RO,510090,Alba Iulia,Alba
RO,510093,Alba Iulia,Alba
RO,510094,Alba Iulia,Alba
RO,510095,Alba Iulia,Alba
RO,510096,Alba Iulia,Alba
RO,510097,Alba Iulia,Alba
RO,510101,Alba Iulia,Alba
RO,510102,Alba Iulia,Alba
RO,510103,Alba Iulia,Alba
RO,510104,Alba Iulia,Alba
RO,510105,Alba Iulia,Alba
RO,510106,Alba Iulia,Alba
RO,510109,Alba Iulia,Alba
RO,510110,Alba Iulia,Alba
RO,510111,Alba Iulia,Alba
RO,510112,Alba Iulia,Alba
RO,510113,Alba Iulia,Alba
RO,510114,Alba Iulia,Alba
RO,510115,Alba Iulia,Alba
RO,510116,Alba Iulia,Alba
RO,510117,Alba Iulia,Alba
RO,510118,Alba Iulia,Alba
RO,510119,Alba Iulia,Alba
RO,510120,Alba Iulia,Alba
RO,510121,Alba Iulia,Alba
RO,510122,Alba Iulia,Alba
RO,510124,Alba Iulia,Alba
RO,510125,Alba Iulia,Alba
RO,510126,Alba Iulia,Alba
RO,510127,Alba Iulia,Alba
RO,510128,Alba Iulia,Alba
RO,510129,Alba Iulia,Alba
RO,510134,Alba Iulia,Alba
RO,510135,Alba Iulia,Alba
RO,510136,Alba Iulia,Alba
RO,510137,Alba Iulia,Alba
RO,510138,Alba Iulia,Alba
